POKŁAD A: NOBILITY
; Nr; nazwa karty; kategoria
29; Królestwo *; Place-INT
30; Ruin *; Place-INT
31; Wróżka; Charakter
32; Gigant; Charakter
33; Wilk; Charakter
34; Żaba; Charakter
35; Koń; Charakter
36; Potwór; Charakter
37; Smok; Charakter
38; Czarownica; Charakter
39; I tak długo, jak żyła, nigdy nie można go usunąć.; Zakończenie
40; I tak wiedźma zginęła we własnym kociołku.; Zakończenie
41; Pobity, ohydne stworzenie wypędzono z królestwa; Zakończenie
42; Ale bez względu na to, jak ciężko przeszukali, nigdy więcej nie mogli go znaleźć.; Zakończenie
43; Każdego dnia widział wynik swego nieposłuszeństwa i płakał;
44; Został uwolniony z zaklęcia i następnego dnia pobrali się; Zakończenie
45; Tak więc został przekształcony z powrotem w ludzką postać; Zakończenie
46; Więc wiedziała, że ​​jej gościem przez cały czas był potwór; Zakończenie
47; A więc złoczyńcy zostali zrzuceni do studni; Zakończenie
48; Więc zaklęcie zostało złamane i byli wolni; Zakończenie
49; Klątwa została zniesiona, jak przepowiedziano; Zakończenie
50; Płomienie wzrosły wyżej, a niegodziwe miejsce zostało zniszczone;
51; Potwór został zniszczony, a miasto znów było bezpieczne.; Zakończenie
52; zostali pochowani w tym samym grobie, a królestwo ich opłakiwało;
53; Prawdziwa miłość przerwała zaklęcie; Zakończenie
54; W ten sposób królestwo otrzymało tak niezwykłą nazwę; Zakończenie
55; Gdy wróg nie żyje, mogą się wreszcie pobrać.; Zakończenie
